County,State,FIPS Code,Vehicles / 5sqmi
Hawaii,HI,15,0 - 10
Williamson,IL,17,10 - 25
Lincoln,WV,54,0 - 10
Barry,MI,26,10 - 25
Luce,MI,26,0 - 2
White,IN,18,0 - 10
Washington,OR,41,100 - 200
York,NE,31,0 - 10
Iberville,LA,22,0 - 10
Maverick,TX,48,0 - 10
Nuckolls,NE,31,2 - 5
Webster,LA,22,10 - 25
Maries,MO,29,0 - 10
Bowman,ND,38,2 - 5
Lincoln,KY,21,10 - 25
Walsh,ND,38,0 - 2
Andrews,TX,48,0 - 10
Polk,FL,12,25 - 50
Douglas,NE,31,100 - 200
Dade,MO,29,0 - 10
Ouachita,LA,22,25 - 50
Glacier,MT,30,0 - 2
Collin,TX,48,100 - 200
Jackson,CO,8,0 - 2
Knott,KY,21,0 - 10
Radford,VA,51,10 - 100
Manistee,MI,26,2 - 5
Ogle,IL,17,10 - 25
Clinch,GA,13,0 - 2
Madison,LA,22,0 - 2
Dale,AL,1,10 - 25
Otero,NM,35,2 - 5
Marshall,MS,28,0 - 10
Lewis,KY,21,0 - 10
Faribault,MN,27,0 - 10
Columbia,WI,55,10 - 25
Morgan,IN,18,25 - 50
Livingston,NY,36,10 - 25
Crane,TX,48,0 - 2
Sumter,FL,12,10 - 25
Simpson,MS,28,10 - 25
Gladwin,MI,26,10 - 25
Madison,MS,28,10 - 25
Boise,ID,16,2 - 5
Platte,WY,56,2 - 5
Lincoln,LA,22,10 - 25
Hall,GA,13,10 - 100
Wetzel,WV,54,0 - 10
Aiken,SC,45,10 - 25
Jefferson,AR,5,0 - 10
Grant,WA,53,10 - 25
Freestone,TX,48,10 - 25
Bandera,TX,48,10 - 25
Renville,MN,27,2 - 5
Schenectady,NY,36,25 - 50
Morton,KS,20,0 - 2
Clarke,AL,1,2 - 5
St. Mary's,MD,24,10 - 25
Greenbrier,WV,54,0 - 10
Suwannee,FL,12,10 - 25
Livingston,IL,17,0 - 10
Putnam,IL,17,0 - 10
Tarrant,TX,48,200 - 300
Monroe,AL,1,2 - 5
Berkeley,SC,45,10 - 25
McDowell,WV,54,2 - 5
Marion,IA,19,10 - 25
Vernon,WI,55,0 - 10
Union,MS,28,0 - 10
Marion,GA,13,2 - 5
Hale,TX,48,0 - 10
Knox,TN,47,10 - 100
Pointe Coupee,LA,22,10 - 25
Niagara,NY,36,10 - 25
Stutsman,ND,38,2 - 5
Gloucester,VA,51,25 - 50
Beltrami,MN,27,0 - 2
Berks,PA,42,10 - 100
Brown,OH,39,10 - 25
Roosevelt,MT,30,2 - 5
Hemphill,TX,48,2 - 5
Alleghany,VA,51,0 - 10
Carter,MO,29,0 - 2
Hancock,IN,18,25 - 50
Hot Springs,WY,56,0 - 2
Liberty,GA,13,0 - 10
Clarendon,SC,45,0 - 10
Currituck,NC,37,10 - 25
Dubois,IN,18,10 - 25
Weld,CO,8,25 - 50
Jackson,WV,54,10 - 25
Hudson,NJ,34,200 - 300
Ford,KS,20,0 - 10
Dorchester,SC,45,25 - 50
Teton,ID,16,10 - 25
Little River,AR,5,0 - 10
Woodson,KS,20,2 - 5
Henderson,KY,21,10 - 25
King,TX,48,0 - 2
Lee,TX,48,10 - 25
DeKalb,MO,29,0 - 10
Danville,VA,51,10 - 100
Henry,OH,39,10 - 25
Cullman,AL,1,25 - 50
Lee,KY,21,0 - 10
Yates,NY,36,0 - 10
Del Norte,CA,6,0 - 10
Lake,MN,27,0 - 2
Warren,IL,17,0 - 10
Langlade,WI,55,2 - 5
Baldwin,AL,1,10 - 25
Lea,NM,35,0 - 10
Spencer,IN,18,10 - 25
Turner,GA,13,0 - 10
Piatt,IL,17,0 - 10
Franklin,TN,47,10 - 25
Fort Bend,TX,48,10 - 100
Dodge,MN,27,10 - 25
Brantley,GA,13,2 - 5
Richland,OH,39,10 - 25
Itasca,MN,27,2 - 5
Woods,OK,40,2 - 5
Blount,TN,47,25 - 50
Hillsborough,FL,12,10 - 100
Dickinson,IA,19,10 - 25
Plymouth,IA,19,0 - 10
Roosevelt,NM,35,2 - 5
Wayne,TN,47,2 - 5
Perry,AR,5,2 - 5
Beckham,OK,40,10 - 25
Corson,SD,46,0 - 2
St. Lawrence,NY,36,2 - 5
Haakon,SD,46,0 - 2
Clinton,IA,19,10 - 25
Coffee,AL,1,10 - 25
Mercer,NJ,34,10 - 100
Dane,WI,55,25 - 50
Lowndes,MS,28,10 - 25
Craven,NC,37,10 - 25
Wolfe,KY,21,0 - 10
La Paz,AZ,4,0 - 2
Carter,TN,47,10 - 25
Antrim,MI,26,0 - 10
Jones,TX,48,0 - 10
Hardin,TX,48,10 - 25
Saline,AR,5,25 - 50
DuPage,IL,17,100 - 200
Alexander,NC,37,25 - 50
Nantucket,MA,25,0 - 10
