Company,Address,City,State,Zip,Feedstock,Capacity
"Granite Falls Energy, LLC",15045 Hwy 23 SE,Granite Falls,MN,56241,Corn,62
Green Plains Inc.,2098 McDonald Rd.,Obion,TN,38253,Corn,120
Green Plains Inc.,87590 Hillcrest Rd.,Atkinson,NE,68713,Corn,55
Green Plains Inc.,1469 S Adams Street,Bluffton,IN,46714,Corn,120
Green Plains Inc.,214 20th Street,Central City,NE,68826,Corn,110
Green Plains Inc.,1005 N Bixby Rd,Fairmont,MN,56031,Corn,119
Green Plains Inc.,24096 170th Avenue,Fergus Falls,MN,56537,Corn,55
Green Plains Inc.,625 N. 25 Mile Ave.,Hereford,TX,79045,Corn,105
Green Plains Inc.,1660 428th Street,Lakota,IA,50451,Corn,120
Green Plains Inc.,395 Bissell Street,Madison,IL,62062,corn,90
Green Plains Inc.,10610 Darnell School Road,Mt. Vernon,IN,47620,corn,90
Green Plains Inc.,48267 Val-E Road,Ord,NE,68862,Corn,61
Green Plains Inc.,7025 Silberhorn Highway,Riga,MI,49228,Corn,57
Green Plains Inc.,4124 Airport Road,Shenandoah,IA,51601,Corn,75
Green Plains Inc.,1495 320th Avenue,Superior,IA,51363,Corn,60
Green Plains Inc.,7878 S 140th Rd,Wood River,NE,68883,Corn,121
Green Plains Inc.,1414 Road O,York,NE,68467,corn,50
"Guardian Energy, LLC",4745 380th Avenue,"Janesville, MN",MN,56048,Corn,110
"Guardian Hankinson, LLC",9230 County Road 1,"Hankinson, ND",ND,58041,Corn,132
"Guardian Lima, LLC",2485 Houx Parkway,"Lima, OH",OH,45804,Corn,54
Heartland Corn Products,53331 State Hwy 19,Winthrop,MN,55396,Corn,100
"Heron Lake BioEnergy, LLC",91246 390th Avenue,Heron Lake,MN,56137,Corn,64
Highwater  Ethanol,24500 U.S. Highway 14,Lamberton,MN,56152,Corn,59
"Homeland Energy Solutions, LLC",2779 IA Hwy 24,Lawler,IA,52154,Corn,140
"Husker Ag, LLC",54048 Hwy 20,Plainview,NE,68759,Corn,76
Ingredion Inc.,1001 1st St. SW,Cedar Rapids,IA,52404,Corn,45
"Iroquois Bio-Energy Company, LLC",751 W St Rd #114,Rensselaer,IN,47978,corn,50
"Kansas Ethanol, LLC",1630 Avenue Q,Lyons,KS,67554,Corn ,60
"KAAPA Ethanol, LLC",8450 KAAPA Lane,Minden,NE,68959,Corn,80
"KAAPA Ethanol Ravenna, LLC",35955 Navaho Road,Ravenna,NE,68869,Corn,90
Land O' Lakes,1000 E. Kraft Drive,Melrose,MN,56352,Cheese Whey,3
"LifeLine Foods, LLC",2811 S. 11th Street,St. Joseph,MO,64503,Corn,50
"Lincolnland Agri-Energy, LLC",10406 N. 1725th Street,Palestine,IL,62451,Corn,60
"Lincolnway Energy, LLC",59511 West Lincoln Hwy,Nevada,IA,50201,Corn,55
"Little Sioux Corn Processors, LLC",4808 F Avenue,Marcus,IA,51035,Corn/cellulosic biomass,135
Louis Dreyfus Commodities ,1149 U Ave.,Grand Junction,IA,50107,Corn,100
Louis Dreyfus Commodities (Elkhorn Valley),3002 North Victory Road,Norfolk,NE,68701,Corn,45
"Marquis Energy, LLC",11953 ESK Road,Hennepin,IL,61327,Corn,300
"Marquis Energy - Wisconsin, LLC",N9585 State Road 80,Necedah,WI,54646,Corn,60
"Marysville Ethanol, LLC",2510 Busha Highway,Marysville,MI,48040,Corn,50
"Maumee Express, Inc. (MXI)",26319 Old Trail Rd,Abingdon,VA,24210,Waste Alcohol,4
Merrick & Company,13th St & Ford Street,Golden,CO,80401,Brewery waste,5
"Mid-America BioEnergy, LLC",675 E Stone Street,Madrid,NE,69150,Corn,46
"Mid-Missouri Energy, Inc.",15311 N. Saline 65 Hwy,Malta Bend,MO,65339,Corn,50
"Midwest Renewable Energy, LLC",27532 West Hwy 30,Sutherland,NE,69165,Corn,28
Nebraska Corn Processing,107 Potter St. ,Cambridge,NE,69022,Corn,44
"New Energy Spirit Biomass Refinery, LLC","",Jamestown,ND,58401,wheat straw,
"NuGen Energy, LLC",27283 447th Avenue,Marion,SD,57043,Corn,130
One Earth Energy,202 Jordan Dr.,Gibson City,IL,60936,Corn,120
"Pacific Ethanol, Inc.",5711 N. West Avenue,Madera,CA,93711,Corn/sorghum,40
"Pacific Ethanol, Inc.",71335 Rail Loop Drive,Boardman,OR,97818,Corn,40
"Pacific Ethanol, Inc.",2600 Washington Avenue,Burley,ID,83318,Corn,60
"Pacific Ethanol, Inc.",3028 Navy Drive  ,Stockton,CA,95206,Corn/sorghum/cellulosic biomass,60
"Pacific Ethanol, Inc.",1301 S. Front St.,Pekin,IL,61554,Corn,90
"Pacific Ethanol, Inc.",120 North Parkway,Pekin,IL,61555,Corn,100
"Pacific Ethanol, Inc.",120 North Parkway,Pekin,IL,61555,Corn,60
"Pacific Ethanol, Inc.",1205 South O Road,Aurora,NE,68818,Corn,45
"Pacific Ethanol, Inc.",2103 Harvest Drive,Aurora,NE,68818,Corn,110
Parallel Products,1620 Bernheim Lane,Louisville,KY,40210,Beverage Waste,3
Parallel Products,12281 Arrow Route,Rancho Cucamonga,CA,91739,Beverage Waste,3
Pennsylvania Grain Processing LLC,250 Technology Dr.,Clearfield,PA,16830,Corn,110
"Pinal Energy, LLC",38585 W Cowtown Road,Maricopa,AZ,85239,Corn,50
"Pine Lake Corn Processors, LLC",33371 170th Street,Steamboat Rock,IA,50672,Corn,38
"Plymouth Energy, LLC",22234 K42,Merrill,IA,51038,Corn,50
POET Biorefining - Alexandria,13179 N 100 E,Alexandria,IN,46001,Corn ,68
POET Biorefining - Ashton,4970 260th Street,Ashton,IA,51232,Corn,56
POET Biorefining - Big Stone,48416 144th Street,Big Stone City,SD,57216,Corn,79
POET Biorefining - Bingham Lake,40212 510th Avenue,Bingham Lake,MN,56118,Corn,35
POET Biorefining - Caro,1551 Empire Drive,Caro,MI,48723,Corn,53
POET Biorefining - Chancellor,27716 462nd Avenue,Chancellor,SD,57015,Corn,110
POET Biorefining - Cloverdale,2265 E. CR 800 S,Cloverdale,IN,46120,Corn,92
POET Biorefining - Coon Rapids,1015 Grant Avenue,Coon Rapids,IA,50058,Corn,54
POET Biorefining - Corning,1680 Brooks Road,Corning,IA,50841,Corn,65
POET Biorefining - Emmetsburg,4724 380th Street,Emmetsburg,IA,50536,Corn,55
POET Biorefining - Fostoria,2111 Sandusky St.,Fostoria,OH,44830,Corn,68
POET Biorefining - Glenville (Agra Resources),15300 780th Avenue,Albert Lea,MN,56007,Corn,42
POET Biorefining - Gowrie,1562 320th Street,Gowrie,IA,50543,Corn,69
POET Biorefining - Groton,40425 133rd Street,Groton,SD,57445,Corn,53
POET Biorefining - Hanlontown,3638 Fir Avenue,Hanlontown,IA,50444,Corn,56
POET Biorefining - Hudson,29619 Spur Avenue,Hudson,SD,57034,Corn,56
POET Biorefining - Jewell,2601 320th Street,Jewell,IA,50130,Corn,69
POET Biorefining - Laddonia,809 North Pine,Laddonia,MO,63352,Corn,50
