District Name,State FIPS,CD114 FIPS
Congressional District 43,06,43
Congressional District 28,06,28
Congressional District 25,06,25
Congressional District 44,06,44
Congressional District 34,06,34
Congressional District 40,06,40
Congressional District 38,06,38
Congressional District 27,06,27
Congressional District 32,06,32
Congressional District 48,06,48
Congressional District 46,06,46
Congressional District 39,06,39
Congressional District 45,06,45
Congressional District 35,06,35
Congressional District 49,06,49
Congressional District 31,06,31
Congressional District 41,06,41
Congressional District 42,06,42
Congressional District 52,06,52
Congressional District 53,06,53
Congressional District 50,06,50
Congressional District 36,06,36
Congressional District 51,06,51
Congressional District 4,04,04
Congressional District 3,04,03
Congressional District 8,04,08
Congressional District 7,04,07
Congressional District 9,04,09
Congressional District 6,04,06
Congressional District 5,04,05
Congressional District 1,04,01
Congressional District 2,04,02
Congressional District 2,49,02
Congressional District 2,06,02
Congressional District 14,06,14
Congressional District 5,06,05
Congressional District 12,06,12
Congressional District 13,06,13
Congressional District 18,06,18
Congressional District 3,06,03
Congressional District 11,06,11
Congressional District 17,06,17
Congressional District 15,06,15
Congressional District 19,06,19
Congressional District 1,06,01
Congressional District 6,06,06
Congressional District 9,06,09
Congressional District 20,06,20
Congressional District 7,06,07
Congressional District 10,06,10
Congressional District 16,06,16
Congressional District 4,06,04
Congressional District 21,06,21
Congressional District 22,06,22
Congressional District 23,06,23
Congressional District 2,32,02
Congressional District 8,06,08
Congressional District 4,32,04
Congressional District 1,32,01
Congressional District 3,32,03
Congressional District 4,49,04
Congressional District 1,49,01
Congressional District 3,49,03
Delegate District (at Large),60,98
