Company,Address,City,State,Zip,Capacity
REG New Boston,280 Texas Ave,New Boston,TX,75570,
"Ever Cat Fuels, LLC",100 Isanti Parkway North East,Isanti,MN,55040,3
Minnesota Soybean Processors,121 Zeh Ave,Brewster,MN,56119,30
AGP St. Joseph,900 Lower Lake Rd,St. Joseph,MO,64504,
"American Energy Producers, Inc.",16749 US Hwy 65,Tina,MO,64682,60
"Blue Sun Biodiesel, LLC",5701 Stockyards Expressway,St. Joseph,MO,64504,30
Deerfield Energy,17700 S T Hwy,Deerfield,MO,64741,30
"Global Fuels, LLC",13308 County Road 731,Dexter,MO,63841,3
"Mid-America Biofuels, LLC",410 S Jefferson,Mexico,MO,65265,50
"Natural Biodiesel Plant, LLC",2608 State Highway J,Hayti,MO,63851,5
"Paseo Cargill Energy, LLC",2334 Rochester Ave,Kansas City,MO,64120,
Wil Fischer Distributing Co. Inc.,3539 W. Farm Road 142,Springfield,MO,65807,
"Elevance Natchez, Inc.",151 L.E. Barry Road,Natchez,MS,39120,
Scott Petroleum Corporation,942 North Broadway,Greenville,MS,38701,20
Earl Fisher Bio Fuels,3362 Cemetery RD,Chester,MT,59522,0.25
Blue Ridge Biofuels,109 Roberts St.,Asheville,NC,28801,1
"Foothills Bio-Energies, LLC",815-D Virginia St SW (POB 795),Lenoir,NC,28645,5
"Patriot Biodiesel, LLC",110 N Chimney Rock Rd,Greensboro,NC,27409,6.9
Piedmont Biofuels,220 Lorax Lane #1,Pittsboro,NC,27312,
Baker Commodities Billerica,"134 Rear, Billerica Avenue",Billerica,MA,01821,
"Outpost Biodiesel, LLC",80 Main Street,Grafton,NH,3240,
"Rio Valley Biofuels, LLC",1940 Anthony Drive,Anthony,NM,88021,
"Bently Biofuels Company, LLC",1350 Buckeye Road,Minden,NV,89423,1
Biodiesel of Las Vegas,5233 East El Campo Grande Ave.,Las Vegas,NV,89115,15
"TMT Biofuels, LLC",3800 Hunkins Rd,Port Leyden,NY,13433,0.25
Center Alternative Energy Company,250 Mahoning Ave,Cleveland,OH,44113,
"Cincinnati Renewable Fuels, LLC",4700 Este Ave,Cincinnati,OH,45232,62.853
Jatrodiesel Inc.,"325 North Riverview Ave, Building D",Miamisburg,OH,45342,5
High Plains Bioenergy,3300 NE 32st St,Guymon,OK,73942,30
"Louisiana ECO Green, LLC",P.O. Box 399,Bourg,LA,70343,
Great Lakes Biodiesel Inc.,One St. Clair Drive,Welland,ON,L3B 6A7,45
"Keystone BioFuels, Inc.","2850 Appleton Street, Ste E",Camp Hill,PA,17011,
Lake Erie Biofuels dba HERO BX,1540 East Lake Road,Erie,PA,16511,45
United Oil Company,1800 North Franklin Street,Pittsburgh,PA,15233,15
US Alternative Fuels Corp.,432-438 Horner Street,Johnstown,PA,15901,2.1
"Newport Biodiesel, LLC",312 Connell Highway,Newport,RI,2840,0.5
South East Oklahoma Biodiesel,1005 Kinzer St,North Charleston,SC,29405,5
"Southeast BioDiesel, LLC",1005 Kinzer St.,North Charleston,SC,29405,5
GGS Cookeville TN,1816 Browns Mill Road,Cookeville,TN,38501,1.8
"Sullens Biodiesel, LLC",100 Hennessee Ave,Morrison,TN,37357,2
"Agribiofuels, LLC",138 Seaberg Industrial Rd,Dayton,TX,77535,12
"Biodiesel of Texas, Inc.",2700 James St,Denton,TX,76205,2
"Calumet Penreco, LLC",4401 Park Ave,Dickinson,TX,77539,
"Channel Biorefinery & Terminals, LLC",13605 Industrial Road,Houston,TX,77015,
"Delek Renewables, LLC TX",3102 Windmill Road,Cleburne,TX,76033,
"Dependable Fuels, LLC",21248 Forestview Dr.,Magnolia,TX,77355,
Eberle Biodiesel,8826 Highway 35 S,Liverpool,TX,77577,0.5
GGS Austin TX,316 State Highway 21 West,Cedar Creek,TX,78612-3547,
"Green Earth Fuels of Houston, LLC",550 Clinton Dr,Galena Park,TX,77547,
"Mesa Processing, Inc.",3701 N. Grove,Ft. Worth,TX,76106,
"RBF Port Neches, LLC",6501 Hogaboom Rd.,Port Neches,TX,77651,
"REG Houston, LLC",11815 Port Rd.,Seabrook,TX,94111,
"Diamond Green Diesel, LLC",14891 Airline Drive,Norco,LA,70079,
"White Mountain Biodiesel, LLC",35 Business Park Rd,North Haverhill,NH,03774,5.5
Greenleaf Biofuels LLC,87 Whitfield St.,New Haven,CT,06437,10
